# tau / s	noise (mean) / V	noise_error / V	SNR	SNR_error
3.058000e-02	4.255787e-07	5.014924e-07	1.057384e+05	1.245998e+05
6.115000e-02	3.127985e-07	3.393749e-07	1.438626e+05	1.560856e+05
1.000000e-01	2.430825e-07	2.945922e-07	1.851223e+05	2.243501e+05
2.000000e-01	1.849351e-07	1.669948e-07	2.433286e+05	2.197235e+05
3.000000e-01	1.763534e-07	1.420016e-07	2.551694e+05	2.054650e+05
4.498000e-01	1.578426e-07	1.159949e-07	2.850941e+05	2.095089e+05
5.994000e-01	1.020644e-07	1.136905e-07	4.408980e+05	4.911203e+05
8.004000e-01	1.385683e-07	1.163631e-07	3.247497e+05	2.727094e+05
9.982000e-01	1.535209e-07	1.368346e-07	2.931198e+05	2.612605e+05
1.500000e+00	1.352949e-07	1.085993e-07	3.326067e+05	2.669788e+05
2.000000e+00	5.020430e-08	4.325767e-08	8.963375e+05	7.723137e+05
2.500000e+00	1.198737e-07	1.130659e-07	3.753952e+05	3.540760e+05
3.000000e+00	7.595488e-08	4.414384e-08	5.924570e+05	3.443271e+05
